name,ring,quadrant,isNew,description
Redux,Adopt,languages-and-frameworks,FALSE,
React Context,Adopt,languages-and-frameworks,FALSE,
Typescript,Adopt,languages-and-frameworks,FALSE,
React,Adopt,languages-and-frameworks,FALSE,
SCSS,Adopt,languages-and-frameworks,FALSE,
Styled Components,Hold,languages-and-frameworks,FALSE,
CSS,Hold,languages-and-frameworks,FALSE,
CSS Modules,Adopt,languages-and-frameworks,FALSE,
Babel,Adopt,languages-and-frameworks,FALSE,
Express,Adopt,languages-and-frameworks,FALSE,
Graphql,Adopt,languages-and-frameworks,FALSE,When using a BFF
Graphql Nexus,Adopt,languages-and-frameworks,FALSE,
Gatsby,Hold,languages-and-frameworks,FALSE,
CRA Boilerplate,Hold,languages-and-frameworks,FALSE,
Next.js,Trial,languages-and-frameworks,FALSE,
JS,Hold,languages-and-frameworks,FALSE,
react-router,Hold,languages-and-frameworks,FALSE,
Apollo,Trial,languages-and-frameworks,,
XState,Trial,languages-and-frameworks,TRUE,
react-testing-library,Adopt,Platforms,FALSE,
Enyzme,Hold,Platforms,FALSE,
Jest,Adopt,Platforms,FALSE,
Loki,Adopt,Platforms,FALSE,
Prettier,Adopt,Platforms,FALSE,
ESLint,Adopt,Platforms,FALSE,
Cypress,Assess,Platforms,TRUE,
Test Cafe,Hold,Platforms,FALSE,
Cucumber,Hold,Platforms,FALSE,
AB Test Component,Adopt,Techniques,FALSE,
Content security policy,Adopt,Techniques,FALSE,
BEM CSS,Hold,Techniques,FALSE,
Micro frontend anarchy,Hold,Techniques,TRUE,
Referrer policy,Trial,Techniques,FALSE,
Feature policy,Trial,Techniques,FALSE,
HTML validation,Trial,Techniques,TRUE,
CSS validation,Trial,Techniques,TRUE,
Accessibility testing,Trial,Techniques,TRUE,
Stylelint,Adopt,Platforms,FALSE,
Launchdarkly,Adopt,Tools,FALSE,
Bugsnag,Adopt,Tools,FALSE,
npm,Adopt,Tools,TRUE,
yarn,Hold,Tools,FALSE,
Browserstack,Adopt,Tools,FALSE,
Webpack,Adopt,Tools,FALSE,
Phrase,Adopt,Tools,FALSE,
Sentry,Trial,Tools,TRUE,Only for CSP Violations
Rollup,Trial,Tools,,
